Budget,Climate,Duration,Activity,Season,Region,Destination
Low,Temperate,3,City Break,Spring,International,New York
Medium,Mild,3,Historical,Autumn,International,Machu Picchu
Low,Warm,2,Beach,Spring,Domestic,Andaman Islands
High,Cold,11,Skiing,Winter,International,Japan
Low,Mild,2,City Break,Summer,Domestic,Rishikesh
High,Warm,6,Island Hopping,Summer,International,Fiji
High,Warm,6,Desert Safari,Winter,International,Dubai
High,Cold,12,Mountain Climbing,Spring,International,Kilimanjaro
Low,Warm,2,City Break,Spring,International,Barcelona
Medium,Warm,2,Desert Safari,Winter,International,Morocco
Medium,Cool,9,Mountain Climbing,Spring,Domestic,Varanasi
Medium,Temperate,2,Historical,Autumn,International,Istanbul
Medium,Warm,6,Beach,Summer,Domestic,Varanasi
Medium,Mild,8,Food Tour,Autumn,International,Spain
Medium,Warm,2,Desert Safari,Winter,International,Namibia
Low,Sunny,2,Beach,Summer,International,Phuket
High,Warm,7,Cruise,Summer,Domestic,Cox’s Bazar
Medium,Sunny,6,Island Hopping,Spring,International,Croatia
Low,Warm,4,Historical,Autumn,International,Istanbul
Medium,Cold,7,Skiing,Winter,International,Sweden
Low,Hot,6,Island Hopping,Spring,International,Philippines
High,Hot,4,Beach,Summer,International,Bali
Medium,Snowy,9,Skiing,Winter,International,Sweden
Low,Hot,2,Island Hopping,Summer,International,Philippines
Low,Cool,8,Mountain Climbing,Summer,Domestic,Agra
Medium,Hot,7,Island Hopping,Spring,Domestic,Rajasthan Forts
High,Cool,14,Mountain Climbing,Spring,International,Everest Base Camp
Medium,Sunny,6,Beach,Spring,International,Phuket
High,Mild,7,Food Tour,Summer,International,Mexico
Medium,Warm,4,Desert Safari,Autumn,Domestic,Darjeeling Hills
Medium,Warm,6,City Break,Autumn,International,London
High,Cool,13,Mountain Climbing,Summer,International,Everest Base Camp
Low,Snowy,6,Skiing,Winter,International,Swiss Alps
Low,Temperate,5,Food Tour,Summer,International,Vietnam
Low,Warm,2,Food Tour,Summer,International,Thailand
Low,Warm,10,Cruise,Summer,International,Alaska
Medium,Cool,8,Hiking,Autumn,International,Switzerland
Medium,Cool,13,Mountain Climbing,Summer,International,Everest Base Camp
Low,Rainy,3,Wildlife,Monsoon,Domestic,Kashmir Valley
Medium,Cold,12,Mountain Climbing,Summer,International,Everest Base Camp
Low,Cool,3,Hiking,Spring,International,Switzerland
Low,Temperate,5,City Break,Summer,International,Barcelona
Low,Rainy,4,Jungle Trekking,Winter,International,Costa Rica
Medium,Warm,3,City Break,Autumn,Domestic,Agra
Medium,Rainy,6,Jungle Trekking,Dry,International,Costa Rica
Low,Rainy,3,Jungle Trekking,Winter,Domestic,Kashmir Valley
Low,Sunny,2,Island Hopping,Summer,Domestic,Rishikesh
Medium,Temperate,9,Hiking,Spring,International,Norway
Medium,Cold,8,Skiing,Winter,International,Japan
Low,Sunny,4,Island Hopping,Summer,Domestic,Sundarbans
Medium,Hot,2,Desert Safari,Autumn,International,Namibia
Medium,Temperate,8,Hiking,Winter,International,Norway
High,Cool,9,Mountain Climbing,Spring,Domestic,Kashmir Valley
Medium,Cold,8,Hiking,Spring,Domestic,Shimla
High,Snowy,11,Skiing,Winter,International,Japan
Low,Warm,4,Beach,Summer,International,Phuket
Medium,Warm,5,City Break,Autumn,International,New York
Medium,Warm,6,City Break,Autumn,Domestic,Ladakh
Medium,Mild,4,Hiking,Autumn,International,Switzerland
High,Cool,5,Hiking,Spring,International,Switzerland
High,Sunny,12,Cruise,Summer,International,Caribbean
Medium,Cold,9,Mountain Climbing,Spring,International,Mont Blanc
Medium,Sunny,4,Beach,Summer,Domestic,Jaipur
Medium,Hot,2,Desert Safari,Autumn,Domestic,Varanasi
Medium,Mild,9,Hiking,Autumn,International,Norway
High,Warm,8,Cruise,Spring,International,Alaska
High,Cool,6,Hiking,Winter,International,New Zealand
Medium,Snowy,6,Skiing,Winter,International,Japan
Low,Cold,5,Hiking,Autumn,International,Switzerland
High,Mild,5,Food Tour,Spring,Domestic,Jaipur
Medium,Warm,2,Beach,Spring,International,Cancun
High,Cold,11,Skiing,Winter,International,Canada
Medium,Mild,6,City Break,Summer,Domestic,Kerala Backwaters
High,Mild,3,City Break,Spring,International,New York
High,Rainy,9,Wildlife,Monsoon,Domestic,Shimla
Medium,Mild,2,City Break,Spring,International,New York
Low,Mild,5,Food Tour,Spring,Domestic,Cox’s Bazar
Low,Temperate,6,Food Tour,Spring,International,Mexico
Low,Cool,6,Hiking,Spring,Domestic,Agra
Low,Hot,4,Wildlife,Winter,Domestic,Mysore
Medium,Cold,9,Mountain Climbing,Spring,International,Patagonia
Medium,Hot,5,Beach,Spring,International,Santorini
Low,Cool,4,Historical,Autumn,International,Kyoto
High,Snowy,6,Skiing,Winter,International,Colorado
Low,Warm,6,Beach,Spring,International,Phuket
Low,Cool,12,Mountain Climbing,Summer,International,Kilimanjaro
Low,Cold,7,Hiking,Winter,International,Norway
Low,Warm,4,Jungle Trekking,Dry,International,Congo
High,Warm,8,Historical,Autumn,International,Istanbul
Low,Temperate,6,Wildlife,Winter,International,Kenya
Medium,Temperate,4,Food Tour,Summer,International,Mexico
High,Temperate,3,City Break,Summer,Domestic,Varanasi
Low,Mild,9,Cruise,Spring,International,Caribbean
Medium,Cool,6,Hiking,Winter,International,Peru
Medium,Cool,8,Mountain Climbing,Summer,International,Patagonia
Medium,Warm,6,Jungle Trekking,Dry,Domestic,Varanasi
High,Cold,8,Skiing,Winter,Domestic,Sundarbans
High,Hot,6,Beach,Spring,International,Phuket
Low,Cool,8,Hiking,Spring,International,Peru
Medium,Warm,3,Food Tour,Summer,International,Thailand
Medium,Sunny,5,Beach,Summer,International,Maldives
Low,Mild,4,Food Tour,Spring,International,Thailand
Low,Hot,3,Wildlife,Spring,International,Kenya
Low,Warm,3,Historical,Autumn,International,Istanbul
Medium,Snowy,7,Skiing,Winter,International,Japan
Low,Warm,2,Food Tour,Spring,Domestic,Cox’s Bazar
Low,Warm,6,Beach,Spring,International,Maldives
High,Temperate,6,City Break,Autumn,Domestic,Ladakh
Low,Warm,3,Desert Safari,Winter,International,Egypt
High,Mild,8,Cruise,Summer,Domestic,Cox’s Bazar
Low,Hot,3,Jungle Trekking,Dry,International,Borneo
High,Sunny,12,Cruise,Spring,International,Greek Islands
Medium,Mild,7,Food Tour,Summer,Domestic,Kerala Backwaters
Medium,Snowy,10,Skiing,Winter,International,Japan
Low,Warm,7,Food Tour,Autumn,Domestic,Varanasi
Low,Sunny,2,Island Hopping,Summer,International,Philippines
Medium,Cold,9,Hiking,Autumn,International,Peru
High,Cool,11,Mountain Climbing,Spring,International,Kilimanjaro
Medium,Sunny,5,Beach,Spring,International,Phuket
High,Hot,9,Island Hopping,Summer,Domestic,Sundarbans
High,Cold,14,Mountain Climbing,Spring,International,Mont Blanc
Low,Mild,3,Food Tour,Summer,International,Mexico
High,Warm,7,Jungle Trekking,Dry,International,Congo
Medium,Sunny,6,Island Hopping,Summer,Domestic,Rajasthan Forts
High,Sunny,8,Cruise,Summer,International,Greek Islands
Medium,Warm,6,Jungle Trekking,Winter,International,Borneo
Medium,Cold,7,Skiing,Winter,International,Japan
Medium,Cool,10,Mountain Climbing,Spring,Domestic,Andaman Islands
High,Cold,6,Hiking,Autumn,Domestic,Sundarbans
High,Rainy,5,Jungle Trekking,Winter,Domestic,Kerala Backwaters
Medium,Mild,4,City Break,Spring,Domestic,Darjeeling Hills
Low,Warm,7,Food Tour,Autumn,International,Italy
